Item Code,Old Code,Description,UOM,Item Type,Forecasted,Manufacturer,Buisness Unit
91423,MN-115-061383-00,NEW SP5 KEYBOARD  FRU,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91716,MN-040-000358-00,BELLOW BAG,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91045,043-005169-00,SP5 BACK COVER,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91851,MN-801-6800-00135-00,POWER BOARD OF T8/T6,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91798,MN-115-021461-00,,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91721,MN-012-000018-00,SENSOR FLOW AIR 300SLPM,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91302,MN-043-008499-00,RECORDER DOOR(ESM),Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91199,MN-049-000547-01,VS600 TEMP BONNET,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91472,MN-051-001064-00,9261AC/DCPOWERSUPPLYBOARD,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91365,MN-115-072926-00,VP5 PUMP HOLDER FRU(NEW MATERIAL),Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91182,MN-115-018253-00,VS-600 REAR COVER FRU,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91598,MN-0651-20-76873,RECORDER CABLE,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
5-11921-0,MDK-EX4411,"EX4411 fully motorized bed, handset, diagonal locking",Ea,TRD,Yes,Midmark (India) Private Limited,Medical Equipment
91091,91091,ADULT STERNUM PADDLE KIT,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91653,MN-034-000015-00,FIXED CASTOR,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91079,91079,"M51C 5L,3-SPO2,NIBP,AO(D3) FOR D3&D2 WITH NIBP",Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91158,MN-PM-003,115-040774-00 IMEC SHARP LED KIT,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
2-11116-0,JM-NUNU-L3,LOTION HAND & BODY,Ea,MFG,Yes,,Medical Disposables/Classic
91887,115-060363-00,LEG PLATE GAS SPRING ASM-R(FRU),Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
1-14665-0,OX-5000.010,NOCOTEST - TEST STICKS,Ea,TRD,No,OXYPHARM SAS,Medical Disposables/Classic
91481,MN-051-000850-00,POWER MANAGE INTERFACE BOARD(COMPLETE),Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91162,VM-4400070,COMPLETE VM-2500-S CASE HOUSING REV.2,Ea,TRD,No,VIAMED LIMITED,Medical Equipment
91818,BT-MB350LN,BT-350L MAIN BOARD ASS'Y INCLUDE CPU BOARD (NEW VER.,Ea,TRD,No,Bistos Co Ltd.,Medical Equipment
91082,91082,ENCODER FOR D3&D2 WITH PACE,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91088,91088,SPEAKER FRU(D3/D3),Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91164,VM-4430607,"UK PLUG ADAPTER FOR USE WITH VM-2500, SERIES CAPNOGRAPH POWER ADAPTER",Ea,TRD,No,VIAMED LIMITED,Medical Equipment
91301,MN-115-017702-00,VS-900 MASIMO SPO2 UPGRADE,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
91008,043-005892-00,HANDLE,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
1-10092-0,JM-C2103-L,"SHOE COVER (BOOTS)  N-W BLUE BIG SIZE, 43GSM",Ea,MFG,No,,Medical Disposables/Classic
1-10530-0,JM-C1002,SPECIMEN CONTAINER - 60CC STERILE 200/CS,Ea,MFG,Yes,,Medical Disposables/Classic
1-10533-0,JM-C2405N,"CATHETER NELATON FR 5, 50/PK, 10PK/CS",Ea,MFG,No,,Medical Disposables/Classic
1-10545-0,JM-C2412N,"CATHETER NELATON  12FR , 50/PK, 10 PK/CS",Ea,MFG,Yes,,Medical Disposables/Classic
1-10552-0,JM-C2416N,"CATHETER NELATON 16FR, CS/500",Ea,MFG,Yes,,Medical Disposables/Classic
1-10565-0,JM-CF3312-15,"CATHETER FOLLEY 2-WAY, LATEX, SIZE: CH 12, 5-15mL (SO31467)",Ea,MFG,Yes,,Medical Disposables/Classic
1-10584-0,JM-CF3416-30,"CATHETER FOLLEY, 2-WAY, SILICONE,15-30ML, SIZE:16",Ea,MFG,No,,Medical Disposables/Classic
1-10600-0,JM-T4416-16,"CLOSED URINARY DRAINAGE SYSTEM, w/100% SILICONE CATH. FR 16",Ea,MFG,No,,Medical Disposables/Classic
1-10204-0,JM-B84-S,BLOOD LINE FOR DIALOGUE SINGLE PUMP (ARTERIAL & VENOUS),Ea,MFG,No,,Medical Disposables/Classic
1-10259-0,JM-X2600-75,"TUBING EXTENSION SET, 75CM, 100/CS",Ea,MFG,Yes,,Medical Disposables/Classic
1-10287-0,JM-MDF400,E.C.G. ELECTRODE ADULT    1000/CS,Ea,MFG,Yes,,Medical Disposables/Classic
1-10291-0,JM-P6,E.C.G.ELECTRODE  PEDIATRIC   1080/CS,Ea,MFG,No,,Medical Disposables/Classic
1-10299-0,JM-8900-M751,"NEBULIZER SET WITH MASK PEDIATRIC, N-STRL, 50/CS",Ea,MFG,No,,Medical Disposables/Classic
1-10360-0,JM-C2412B,"CATHETER SUCTION TRAY - SIZE 12FR, 50/CS",Ea,MFG,Yes,,Medical Disposables/Classic
1-10363-0,JM-C2414,"CATHETER SUCTION STRAIGHT,  FR 14, 50/PKT, 10PKT/CS",Ea,MFG,Yes,,Medical Disposables/Classic
1-10377-0,JM-C2710,"MUCOUS EXTRACTOR - SIZE #10, 50/CS",Ea,MFG,No,,Medical Disposables/Classic
1-10391-0,JM-C3490,"NASAL OXYGEN CANULLA  - W/210cm TUBE, CS/50",Ea,MFG,No,,Medical Disposables/Classic
1-10392-0,JM-C3490-1,NASAL OXYGEN CANNULA WITH 150CM TUBING (MOH/GCC),Ea,MFG,No,,Medical Disposables/Classic
1-10400-0,JM-ET-111-40,ENDOTRA CHEAL TUBE UNCUFFED  MURPHY SIZE 4 MM   CS\50,Ea,MFG,No,,Medical Disposables/Classic
1-10409-0,JM-ET-111-75,ENDOTRACHEAL TUBE ORAL/NASAL SIZE:7.5mm (SO31849A),Ea,MFG,No,,Medical Disposables/Classic
1-10420-0,JM-ET-118-85,"ENDOTRACHEAL TUBE RNFRCD, ORAL/NASAL, CUFFED, Size:ID:8.5mm",Ea,MFG,No,,Medical Disposables/Classic
1-10670-0,JM-G1010-1202,"GAUZE SWAB 10*10CM, 12PLY,2EA/PK (SP34131A)",Ea,MFG,No,,Medical Disposables/Classic
1-10696-0,JM-PO0815-NW,"POST OPERATIVE DRESSING, NON-WOVEN, 8X15CM (SO31571C)",Ea,MFG,No,,Medical Disposables/Classic
1-10705-0,JM-SKIN-A,SKIN TRACTION KIT for ADULT,Ea,MFG,Yes,,Medical Disposables/Classic
1-10708-0,JM-TD0607,DRESSING ADHESIVE TRANSPARENT SIZE: 6x7cm (SO31572),Ea,MFG,Yes,,Medical Disposables/Classic
1-10719-0,JM-TZO259,"TAPE ZINC OXIDE, Self Adhsive, Sz:2.5cm* 9m, Easily Cut",Ea,MFG,No,,Medical Disposables/Classic
1-10035-0,JM-T20,"TUBE T-DRAINAGE 30-45cm, DISP Size:20",Ea,MFG,No,,Medical Disposables/Classic
1-10064-0,JM-C2562,STOMACH TUBE SIZE 12FR CS/100,Ea,MFG,No,,Medical Disposables/Classic
1-10085-0,JM-BS3577-NW,"BED SHEET 195X90X35CM (35X77"") WHITE WITH RUBBER END",Ea,MFG,No,,Medical Disposables/Classic
1-10946-0,JM-AMVC1774/150-A,"Breathing Circuit Neonate Dual Limb, Disposable,",Ea,MFG,No,,Medical Disposables/Classic
1-10958-0,JM-B10500,CREPE BANDAGE 10 CM X 5 METERS (SP34044A),Ea,MFG,No,,Medical Disposables/Classic
1-10003-0,JM-CANISTER-1,SUCTION CANISTER CAPACITY:1 LITER,Ea,MFG,Yes,,Medical Disposables/Classic
1-10107-0,JM-DP2126,"DRAPE UTILITY WITH TAPE, STERILE 2EA/PK ,120PK/CS",Ea,MFG,Yes,,Medical Disposables/Classic
1-12179-0,JM-FM-1-1,AIR CUSHIONED FACE MASKS SIZE 1 REUSABLE,Ea,MFG,No,,Medical Disposables/Classic
1-12194-0,JM-AW-000,"AIRWAY, GUEDEL PLASTIC N-STERILE (JM-Y1000000)",Ea,MFG,No,,Medical Disposables/Classic
1-12260-0,JM-C2101-2B,CAP SURGEON THEATRE DISP COLOUR GREEN OR BLUE,Ea,MFG,No,,Medical Disposables/Classic
1-10929-0,EQ-ET-10-075,EQUITAMP REGULAR 10 X 7.5 CM,Ea,TRD,Yes,EQUIMEDICAL  B.V.,Medical Disposables/Classic
1-12307-0,JM-P23323,E.E.N.T PACK,Ea,MFG,Yes,,Medical Disposables/Classic
1-12337-0,JM-G4545-X0605,"GAUZE SPONGE, 45X45CM, 6PLY, X-RAY DET. STERILE, 5EA/PACK",Ea,MFG,No,,Medical Disposables/Classic
1-12380-0,JM-PS2910,,Ea,MFG,Yes,,Medical Disposables/Classic
2-10010-0,JM-DIL-2,DISPOSABLE INNER LINER FOR SUCTION CANISTER :2L,Ea,MFG,Yes,,Medical Disposables/Classic
1-11036-0,JM-DP3650-HT,"DRAPE HEAD TURBAN 36x50"" with ISO SEAL TAPE",Ea,MFG,No,,Medical Disposables/Classic
1-11079-0,JM-G2050-RGA,"GOWN SURGEON DISP. REINFORCED, MOISTURE REPLANT, Size:LARGE",Ea,MFG,No,,Medical Disposables/Classic
1-11082-0,JM-G2070-RM1,"GOWN, SURGICAL, SMS N/W 40GSM, XXL, BLU, REINFORCED",Ea,MFG,Yes,,Medical Disposables/Classic
1-11096-0,JM-GL2030-M,GLOVES LATEX MEDIUM,Ea,MFG,No,,Medical Disposables/Classic
1-11101-0,JM-IB1605,"ICE BAG PLASTIC 16 INCH X 5 INCH,OPEN NECK, RESEALABLE",Ea,MFG,Yes,,Medical Disposables/Classic
1-11104-0,JM-M48P,"PANTIES - X-LARGE, PINK",Ea,MFG,No,,Medical Disposables/Classic
1-11148-0,JM-PB2535,PRINTED WHITE PLASTIC BAG (APPROX. 25X35CM),Ea,MFG,No,,Medical Disposables/Classic
1-11164-0,JM-POD0507-T,DRESSING POST OPERATIVE TRANSPARENT SIZE: 6.5X5CM,Ea,MFG,No,,Medical Disposables/Classic
1-11171-0,JM-PP20270,"PLASTER OF PARIS, HUMIDPROOF, SIZE: 20x270cm, IND. WRAPPED",Ea,MFG,No,,Medical Disposables/Classic
1-11726-0,JM-G2045-BM2,"GOWN SURGICAL MEDIUM BLUE, DSPSBL (MULTIVAC PACKAGE)",Ea,MFG,No,,Medical Disposables/Classic
1-11730-0,JM-G3030-X1205-KAAU, LAP SPONGE PREWASHED X-RAY DETECTABLE 13THREAD 30*30CM,Ea,MFG,No,,Medical Disposables/Classic
1-12087-0,JF-T3317D-KFAF,"DRESSING PACK WITH FORCEPS, MEDIUM, STERILE",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12302-0,JF-G0505-0805,"GAUZE SWAB 8PLY, 5X5CM (2""X2"") (STERILE) 5 EA/PK,13 THREAD",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12310-0,JM-TS0510,SURGICAL TAPE 5.0 CM X 9.1M (2IN X 10 YDS),Ea,MFG,No,,Medical Disposables/Classic
1-12301-0,JF-S2497-B270F,"SUCTION CONNECTING TUBE 7MM X 270CM, 20/CS",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11864-0,JM-CT-10722,"TUBE ROLL, COURREGUATED, W / 6 INCH CUTABLE SIDE",Ea,MFG,No,,Medical Disposables/Classic
1-11877-0,JM-MDI2222,MDI CHAMBER FOR MECHANICAL VENTILATOR,Ea,MFG,No,,Medical Disposables/Classic
1-11883-0,JM-T4400,"HOLDER TRACHEOSTOMY, FOR ADULT, NON-STERILE",Ea,MFG,Yes,,Medical Disposables/Classic
1-11976-0,1-11976-0,SPO2 SENSOR DISPOSABLE PEDIATRIC,Ea,MFG,No,,Medical Disposables/Classic
1-11977-0,1-11977-0,SPO2 SENSOR DISPOSABLE ADULT,Ea,MFG,No,,Medical Disposables/Classic
1-12104-0,JM-DRH1520,HYDRO-CELLULAR FOAM DRESSING SIZE 15 X 20CM,Ea,MFG,No,,Medical Disposables/Classic
1-12110-0,JM-FMP-4,MASK FACE ANESTHESIA LATEX FREE DIS. SIZE 4,Ea,MFG,No,,Medical Disposables/Classic
1-12120-0,JM-P2351-KAAU,PACK DELIVERY BARRIER,Ea,MFG,No,,Medical Disposables/Classic
1-11552-0,PS3760ULT,ULTIMATE VERESS NEEDLE 150MM,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11562-0,PS3900,CAMERA SLEEVE,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11565-0,PS4122,MAGNETIC DRAPE 40CM X 50CM,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11593-0,PS9LSI90G,ULTIMATE 90MM LINEAR STAPLER WITH INDICATOR (4.8MM),Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
2-10076-0,JM-C2812-GW,"Feeding Tube, Silicone w/Guide Wire, Radio Opaque, Size:12Fr",Ea,MFG,No,,Medical Disposables/Classic
2-10090-0,JM-C2101-2B,CAP SURGEON DISPOSABLE with TIES BLUE/GREEN,Ea,MFG,Yes,,Medical Disposables/Classic
2-10106-0,JM-DMP3028,"Drape Moisture Vapor Permeable Adhesive, 30x28cm, Disp. Strl",Ea,MFG,Yes,,Medical Disposables/Classic
2-10251-0,JM-V5534-30,STOP COCK 3 WAY with 30cm TUBING,Ea,MFG,Yes,,Medical Disposables/Classic
2-10421-0,JM-ETP-107-45,"ENDOTRACHEAL TUBE WITH CUFF MURPHY, SIZE:4.5, CS/50",Ea,MFG,No,,Medical Disposables/Classic
2-10477-0,JM-Y1002,AEROSOL SML. VOL. NEBULZER COMPTBLE w/VENT CIRCUIT OPN SYSTM,Ea,MFG,Yes,,Medical Disposables/Classic
2-10948-0,JM-AP20100-10-SGH,DRESSING ABSRBENT PAD 20X100CMX10MM,Ea,MFG,No,,Medical Disposables/Classic
2-10275-0,JM-B1004,"Brush Disposable, High Quality Tootbrush Style",Ea,MFG,No,,Medical Disposables/Classic
2-10277-0,JM-B1006-A,"Cleaning Brush, Long Channeled Scopes, Nylon Bristles(M/Grd)",Ea,MFG,No,,Medical Disposables/Classic
2-10284-0,JM-C1030,TRANSPARENT CUP FOR MEDICINE UNIVERSAL w/GRADUATION 30ML,Ea,MFG,Yes,,Medical Disposables/Classic
2-10046-0,JM-WD5002-18,"WOUND DRAINAGE SET 400ML CAPACITY,W/TROCAR SIZE: FG. 18",Ea,MFG,Yes,,Medical Disposables/Classic
2-10387-0,JM-C3489,NASAL OXYGEN CANULLA PEDIATRIC N/ST. 50/CS,Ea,MFG,Yes,,Medical Disposables/Classic
2-10612-0,JM-U500-2000,URINE MEASUREMENT 500ML FINE MEAS. 2000ML,Ea,MFG,Yes,,Medical Disposables/Classic
2-10707-0,JM-TD0607,DRESSING ADHESIVE TRANSPARENT SIZE: 6X7CM (SO31572),Ea,MFG,Yes,,Medical Disposables/Classic
2-11028-0,JM-DCFMALE-XL,DOCTOR & PHARMACIST COAT FEMALE SIZE: X-LARGE (SP33248C),Ea,MFG,No,,Medical Disposables/Classic
2-11095-0,JM-GB75450,"COTTON BANDAGES SIZE 7.5x450cm, W/1 CLIP CS/1440 (SP34048A)",Ea,MFG,No,,Medical Disposables/Classic
2-11099-0,JM-GR2030-BS,GLOVES TO DEAL WITH CHEMICAL SIZE: SMALL,Ea,MFG,No,,Medical Disposables/Classic
2-11735-0,JM-NUBFEMALE-L,"NURSE UNIFORM B, FEMALE WHITE (TOP/PANT) 50%COTN+50% POLYSTR",Ea,MFG,No,,Medical Disposables/Classic
2-11813-0,JM-DG1040P,DRESSING GAUZE IMPREGNATED PARAFFIN DSPBL 10X40CM,Ea,MFG,Yes,,Medical Disposables/Classic
2-11815-0,JM-G0505-12NS,"GAUZE SWAB 5X5CM (2X2"") 12PLY, NON-STERILE, 100EA/PKT",Ea,MFG,No,,Medical Disposables/Classic
2-11839-0,JM-BT3520,"TUBULAR BANDAGE, SIZE: 3.5CM X 20 METERS",Ea,MFG,No,,Medical Disposables/Classic
2-12230-0,JM-NP001,"INFANT NASAL PRONG (CPAP) CANNULA, SZ:XS",Ea,MFG,No,,Medical Disposables/Classic
2-12361-0,JM-S2407-60,"SET  I. V.   190CM  60DROPS, 50/CS",Ea,MFG,No,,Medical Disposables/Classic
3-11650-0,JM-S2422-100,SET FOR BLOOD ADM. WITH 100ML CHAMBER,Ea,MFG,No,,Medical Disposables/Classic
1-11506-0,PS3055,SWAB RACK,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11516-0,PS3260ULT,ULTIMATE HASSON TROCAR,Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11524-0,PS3462ULT,ULTIMATE DILATING TIP TROCAR 12MM (20EA / CTN),Ea,TRD,Yes,PURPLE SURGICAL INTERNAT.LTD.,Medical Disposables/Classic
1-11924-0,JF-DP20,"DRAPES ST, 50X50CM, PED. W/FENESTRATED DRAPE 50X50CM",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11931-0,JF-G2060B,"GOWN SURGEON, XLRG, BLUE, W/HAND TOWEL, DISPBL, STRL",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11958-0,JF-V5534,STOP- COCK 3WAY WITHOUT EXTENTION,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11959-0,JF-V5534-10,"STOP- COCK 3WAY W/EXTENTION TUBE ,DSPSBL STRL 10CM",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11622-0,VM-4420570,AIR ADAPTER FOR USE WITH SIDESTREAM TRANSPARENT 20MM,Ea,TRD,No,VIAMED LIMITED,Medical Equipment
1-11770-0,WN-601-012173,STERILE GAUZE SWABS 13THREAD 10X10CM-8PLY - 5EA /PKT,Ea,TRD,Yes,WINNER INDUSTRIES (SHENZEN) CO,Medical Disposables/Classic
1-11774-0,WN-601-012182,"STERILE LAP SPONGE, 13THREAD, 45X45CM-12PLY, W/X-RAY, 5EA/PK",Ea,TRD,Yes,WINNER INDUSTRIES (SHENZEN) CO,Medical Disposables/Classic
1-11792-0,WN-603-010039,STERILE NON-WOVEN ADHSV WOUND DRSSNG 08X10CM,Ea,TRD,Yes,WINNER INDUSTRIES (SHENZEN) CO,Medical Disposables/Classic
1-11842-0,VM-0110017,"OXEGEN SENSOR , R-17MED S/N 182049-52",Ea,TRD,No,VIAMED LIMITED,Medical Equipment
1-11986-0,JF-C2558-42,"TUBE FEEDING INFANT 8 FR/ 42""",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11987-0,JF-C2816,TUBE DUODENAL RYLE 16 FR W. X-RAY LINE STERILE,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-11991-0,JF-DG1010A,DRESSING GAUZ PARAFN STRL W/ANTSPTC SOFRTULE 10X10CM,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12006-0,JF-P2351-KAAU,PACK DELIVERY BARRIER,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12011-0,JF-S2490-N,TUBE SUCTION YANKER FINE 12FR*26CM,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12041-0,JF-DP4466,"DRAPE SHEET 44X66""",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12312-0,JF-G1010-12NS,"GAUZE SWAB 10X10CM 12PLY,  NON-STERILE 100/PKT-13 THREAD",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12387-0,1-12387-0,,Ea,TRD,Yes,Bexen Medical,Medical Disposables/Classic
1-12397-0,VM-4420803,"VERSASTREAM VIAMED CO2 SAMPLING LINE, NASAL CANNULA, INFANT, SHORT-TERM, BOX OF 25",Ea,TRD,No,VIAMED LIMITED,Medical Equipment
1-12467-0,1-12467-0,CREAMATOCRIT PLUS TUBES REF. NO# 270-110,Ea,TRD,Yes,,Medical Disposables/Classic
1-12469-0,1-12469-0,RECHARGEABLE BATTERY REF. NO# 280-104,Ea,TRD,Yes,,Medical Disposables/Classic
1-12473-0,VAC 9210-004,CANISTER SUCTION T CONNECTOR BOX 10,Ea,TRD,Yes,VacSax Ltd,Medical Disposables/Classic
1-12517-0,VY-4559LED,"BATTERY CARTRIDGE, GREENLIGHT, STANDARD, BOX OF 1",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12546-0,VY-9025EU,"ABG MICRO IML 25 GAUGE 5/8"" CUBE, BOX OF 100",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12554-0,VY-A4VXXXXX,"CIRCUIT, ADULT 108"" EXP HOSE, NO BAG, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12560-0,VY-AFNXKXXX,"CIRCUIT, ADULT LIMB-O 72"" HOSE, 2L BAG, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12593-0,VY-GW9XXXXX,"CIRCUIT, ADULT LIMB-O, 108"" HOSE, 2L, LF, BOX OF 15",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12627-0,VY-AFNXKXXCP,"CIRCUIT, ADULT LIMB-O, 72"" HOSE, 2L, LF, BOX OF 20",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12633-0,VY-AFPXUXXXX1,"CIRCUIT, ADULT LIMB-0 108"" HOSE, 2L BAG, BOX OF 15",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12642-0,VY-GT9XXXXX,"CIRCUIT, ADULT LIMB-O, 108"" HOSE, 3L, LF, BOX OF 15",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-11920-0,JF-CF3418-5,"CATHETER FOLEY, 18 FR, 2WAY, SILICONIZD, DSPSBL STRL",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12612-0,VY-M1145066,"STRAIGHTT ADAPTOR22MM M/15MM F PK 10, BOX OF 10",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-12617-0,VY-M1145072,"GSL, DISP, 10', M/M CONNECTOR, BOX OF 10",Ea,TRD,Yes,Vyaire BV,Medical Disposables/Classic
1-13050-0,JM-P001-SMLS,"LITTLE SUCKERS/NEOSUCKERS-NEONATE GENTLE SOFT, SIZE SMALL STERILE",Ea,MFG,No,,Medical Disposables/Classic
1-12680-0,JF-X2600-150,"TUBING EXTENSION SET, MALE AND FEM. LUER LOCK, 100/CS",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12692-0,JF-C2409-12-72E,"CLOSED SUCTION CATHETER ADULT WITH ET CONNECTOR,12FR (72HRS)",Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12707-0,JF-DRH1818,DRESSING SACRAL SIZE: 18X18CM (SO31512),Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12719-0,JF-C3107G,SURGEON HOOD - GREEN WITH BEARD,Ea,TRD,Yes,Jamjoom Fullcare Corporation,Medical Disposables/Classic
1-12762-0,GN-100-012-191,"12MM X 100MM GENISHIELD SHIELDED TIP TROCAR AND ONE CANNULA (THREADED), BOX OF 5",Ea,TRD,No,GENICON,Medical Equipment
1-12763-0,GN-100-005-151,"5MM X 100MM GENIPALM BLADELESS TROCAR AND ONE CANNULA (THREADED), BOX OF 5",Ea,TRD,No,GENICON,Medical Equipment
1-12799-0,GN-528-063-910,"NANOKIT CURVED METZENBAUM SCISSORS  3MM X 28CM WITH NON-RATCHETING HANDLE AND 60MM CANNULA/ TROCAR SYSTEM, BOX OF 8",Ea,TRD,No,GENICON,Medical Equipment
5-10016-0,MN-DS5-B10,DOCKING STATION DS5 10 SLOTS BASIC CONFIGURATION,Ea,TRD,No,"SHENZHEN MINDRAY BIO-MEDICAL ELECTRONICS CO., LTD",Medical Equipment
5-10239-0,SH-040-000312-00,"COMEN ADULT REUSABLE ANALOG SPO2 SENSOR(10FT, 12PIN)",Ea,TRD,No,Shenzhen Comen Medical Instruments Co.Ltd,Medical Equipment
1-12974-0,DIP-TBM3D,"MACROPOROUS LIGHTWEIGHT 3D PLUG WITH BASE - MEDIUM SIZE. 2,2X2,6 (HXØ) BASE Ø 5 CM",Ea,TRD,No,DIPRO MEDICAL DEVICES S.r.l.,Medical Equipment
1-12976-0,DIP-TBE9M3D,"LOW DENSITY MEDIUMWEIGHT 3D PLUG WITH BASE - MEDIUM SIZE. 2,6X2,8 (HXØ) BASE Ø 6 CM",Ea,TRD,No,DIPRO MEDICAL DEVICES S.r.l.,Medical Equipment
1-12982-0,DIP-TPBM,MACROPOROUS LIGHTWEIGHT FLAT PLUG - MEDIUM SIZE. Ø 5 CM,Ea,TRD,No,DIPRO MEDICAL DEVICES S.r.l.,Medical Equipment
1-12983-0,DIP-TPBL,MACROPOROUS LIGHTWEIGHT FLAT PLUG -LARGE SIZE. Ø 7 CM,Ea,TRD,No,DIPRO MEDICAL DEVICES S.r.l.,Medical Equipment
1-13000-0,DIP-2P0913EV,NOT ABSORBABLE COMPOSITE POLYPROPYLENE MESH. 9X13 CM,Ea,TRD,Yes,DIPRO MEDICAL DEVICES S.r.l.,Medical Disposables/Classic
1-13042-0,JM-TD0575-IV2,PIV TRANSPARENT DRESSING PED. 5X5.7CM,Ea,MFG,Yes,,Medical Disposables/Classic
4-10001-0,BIO-GM100,RIGHTEST GLUCOSE METER GM100,Ea,TRD,No,Bionime GmbH,Retail
1-13071-0,JM-UB500-L,"URINE LEG BAG,W/VALVE ,DRAINGE END 500ML",Ea,MFG,Yes,,Medical Disposables/Classic
