SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
382,4214271500300,"SYSTEM URINARY DRAINAGE CLOSED CONSISTENT OF: FOLEY CATHETER 2 - WAYS, PURE SILICON 30 - 50 CM LONG WITH TWO LATERAL EYES, BALLOON SIZE : 3 - 5 ML WITH VALVE SUITABLE, TO BE USED WITH SYRINGE LUER LOCK CYLINDRICAL SIZE : FR 20, ATTACHED TO URINE DRAINAGE BAG 2000 ML CAPACITY WITH ABOUT ONE METER LONG TUBE CLEAR AND FIXED NUMERICAL GRADUATION SAMPLE PORT SLIDING T - SHAPE DRAINAGE VALVE ANTI - REFLUX VALVE UNIVERSAL DOUBLE HOOK AND PLASTIC HANGER WITH KINK PREVENTION ROPE AND SHOULD PROVIDE SYRINGE COMPATIBLE WITH THE SAMPLE PORT SLIDE CLAMP SHAPE MUST ALLOW COMPLETE AND EFFICIENT DRAINAGE DISPOSABLE STERILE",EA,ITEMIZED,"78,147"
383,4214271500400,"SYSTEM URINARY DRAINAGE CLOSED CONSISTENT OF: FOLEY CATHETER 2 - WAYS, PURE SILICON 30 - 50 CM LONG WITH TWO LATERAL EYES, BALLOON SIZE : 3 - 5 ML WITH VALVE SUITABLE, TO BE USED WITH SYRINGE LUER LOCK CYLINDRICAL SIZE : FR 22, ATTACHED TO URINE DRAINAGE BAG 2000 ML CAPACITY WITH ABOUT ONE METER LONG TUBE CLEAR AND FIXED NUMERICAL GRADUATION SAMPLE PORT SLIDING T - SHAPE DRAINAGE VALVE ANTI - REFLUX VALVE UNIVERSAL DOUBLE HOOK AND PLASTIC HANGER WITH KINK PREVENTION ROPE AND SHOULD PROVIDE SYRINGE COMPATIBLE WITH THE SAMPLE PORT SLIDE CLAMP SHAPE MUST ALLOW COMPLETE AND EFFICIENT DRAINAGE DISPOSABLE STERILE",EA,ITEMIZED,"39,197"
384,4214272001900,"FEMALE EXTERNAL CATHETER, FOR EXTERNAL URINE MANAGEMENT SYSTEM",EA,ITEMIZED,"30,000"
385,4214270400400,"BAG, URINARY, COLLECTOR FOR PEDIATRIC, 100-200 ML CAPACITY, PLASTIC, GRADUATED WITH LABEL AND NON RETURN VALVE, HYPOALLERGENIC, ADHESIVE",EA,ITEMIZED,"36,17,645"
386,4214270400600,"BAG, URINARY, NEWBORN 24 HOUR SPECIMEN COLLECTOR FOR URINE, STICKS EASILY ON THE SKIN, DOES NOT DAMAGE FRAGILE SKIN WHEN REMOVED, INDIVIDUAL PACKAGING, DISPOSABLE, STERILE",EA,ITEMIZED,"78,962"
387,4214270400300,"BAG, URINARY, URIMETRIC, FOR MEASURING AND COLLECTING URINE, WITH 90-120 CM LONG TUBE, GRADUATED, 2000-2500 ML, DISPOSABLE, STERILE",EA,ITEMIZED,"2,64,329"
388,4214270404300,"BAG, URINARY, WITH GRADUATED, 500 ML, FINE CHAMBER + 2000 ML PVC DRAINAGE BAG, BOTTOM OUTLET SAMPLE PORT, FASTENING STRAPS, UROMETER",EA,ITEMIZED,"1,23,685"
SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
389,4214270400000,"BAG, URINE DRAINAGE, 2000-2500 ML CAPACITY, WITH ABOUT ONE METER LONG TUBE, CLEAR AND FIXED NUMERICAL GRADUATION, SAMPLE PORT, ROLLER DRAINAGE VALVE, ANTI-REFLUX VALVE, UNIVERSAL DOUBLE HOOK AND ROPE HANGER WITH KINK PREVENTION, SLIDE CLAMP, SHAPE MUST ALLOW COMPLETE AND EFFICIENT DRAINAGE, DISPOSABLE, STERILE",EA,ITEMIZED,"36,84,496"
390,4214270400200,"BAG, URINE LEG WITH VALVE, DRAINAGE END, APPROXIMATELY 500-750 ML, HYPOALLERGIC, WITH LEG BELT EASY TO
FIX AND RELEASE",EA,ITEMIZED,"87,703"
391,4214270400100,"BAG, URINE LEG WITH VALVE, DRAINAGE END, APPROXIMATELY 800-1000 ML, HYPOALLERGIC, WITH LEG BELT EASY
TO FIX AND RELEASE",EA,ITEMIZED,"92,297"
392,4214270212100,"SET, FOR URINARY CATHETER: SIZE 5.0 FRENCH (WITHOUT IODINE) WITH SILICONE URINARY CATHETER, MUST BE ENCASED RADIOPAQUE STRIPE, SOFT, ROUNDED TI P, STOPCOCK WITH LATEX-FREE, INJECTION SITE, 150 ML COLLECTION BURETTE WITH DRAINAGE STOPCOCK, SET CONTENTS, PRE-ASSEMBLED SET (WITH SILICONE URINARY CATHETER 5FR AND BURETTE) POVIDONE-IODINE SWABSTICKS, STERILE SURGICAL LUBRICANT, TOWEL, FENESTRATED DRAPE.",EA,ITEMIZED,"11,809"
393,4223160909300,"TUBE, RECTAL / FLATUS, PLASTIC, SIZE: FG 24, 40 - 60 CM LONG, DISPOSABLE, STERILE",EA,ITEMIZED,"42,000"
394,4214390300600,"TUBE, RECTAL / FLATUS, PLASTIC, SIZE: FG 26, 40 - 60 CM LONG, DISPOSABLE, STERILE",EA,ITEMIZED,"45,710"
395,4214390300700,"TUBE, RECTAL / FLATUS, PLASTIC, SIZE: FG 28, 40 - 60 CM LONG, DISPOSABLE, STERILE",EA,ITEMIZED,"66,500"
396,4227190200000,"TUBE, SENGSTAKEN, RUBBER, RADIOPAQUE, LENGTH 120 CM, GRADUATED EVERY 5 CM WITH 3 LATERAL EYES AT DISTAL END WITH 350 ML (AT LEAST) GASTRIC BAL LOON, 100 ML(AT LEAST) ESOPHAGEAL BALLOON AND PRESSURE CONTROLLING VALVE, SIZE: FG 15, DISPOSABLE, STERILE",EA,ITEMIZED,"3,564"
397,4227190200100,"TUBE, SENGSTAKEN, RUBBER, RADIOPAQUE, LENGTH 120 CM, GRADUATED EVERY 5 CM WITH 3 LATERAL EYES AT DISTAL END WITH 350 ML (AT LEAST) GASTRIC BAL LOON, 100 ML(AT LEAST) ESOPHAGEAL BALLOON AND PRESSURE CONTROLLING VALVE, SIZE: FG 18, DISPOSABLE, STERILE",EA,ITEMIZED,"3,850"
398,4227190200200,"TUBE, SENGSTAKEN, RUBBER, RADIOPAQUE, LENGTH 120 CM, GRADUATED EVERY 5 CM WITH 3 LATERAL EYES AT DISTAL END WITH 350 ML (AT LEAS T) GASTRIC BALLOON, 100 ML(AT LEAST) ESOPHAGEAL BALLOON AND PRESSURE CONTROLLING VALVE, SIZE: FG 21, DISPOSABLE, STERILE",EA,ITEMIZED,"4,508"
399,4219261201400,"KIT, BLADDER IRRIGATION, WITH SYRINGE TIP BULB 60 ML, 1200 ML BASIN AND 500 ML SOLUTION CONTAINER,
STERILE",EA,ITEMIZED,"3,600"
400,4214160102500,"KIT, ENEMA, CONTAINS: 50-60 INCH TUBING WITH PRELUBRICATED TIP, ADJUSTABLE CLAMP, BAG 1500-2000 ML, UNDERPAD, CASTILE SOAP PACKET,",EA,ITEMIZED,"18,000"
401,4214160700100,"URINAL, FEMALE HARD TRANSPARENT PLASTIC, 1000 ML CAPACITY, GRADUATED WITH HANGING FACILITY AND FLAT
BOTTOM, DISPOSABLE",EA,ITEMIZED,"1,28,651"
402,4214160700000,"URINAL, MALE HARD TRANSPARENT PLASTIC, 1000 ML CAPACITY, GRADUATED WITH HANGING FACILITY AND FLAT
BOTTOM, DISPOSABLE",EA,ITEMIZED,"17,50,029"
403,4214160700300,"URINAL, MALE, COMPRESSED CARDBOARD, PULP, 800-1000 ML, DISPOSABLE",EA,ITEMIZED,"5,96,860"
404,4214270236200,"VALVE, AUTOMATED, FIT ALL SIZES OF FOLEY CATHETER, REPLACE URINE BAG, MAKING PATIENT CONTROL URINATION",PC,ITEMIZED,700
405,4214272000800,"CONDOM, SELF ADHESIVE WITH AN OPENING CONNECTED TO A URINE BAG, SIZE: SMALL = 25 MM, LATEX FREE,
DISPOSABLE",EA,ITEMIZED,"4,83,850"
406,4214272000700,"CONDOM, SELF ADHESIVE WITH AN OPENING CONNECTED TO A URINE BAG, SIZE: MEDIUM = 30 MM, LATEX FREE,
DISPOSABLE",EA,ITEMIZED,"9,32,643"
407,4214272000600,"CONDOM, SELF ADHESIVE WITH AN OPENING CONNECTED TO A URINE BAG, SIZE: LARGE = 35 MM, LATEX FREE,
DISPOSABLE",EA,ITEMIZED,"14,03,123"
408,4214272002900,"CONDOM, SELF ADHESIVE WITH AN OPENING CONNECTED TO A URINE BAG, SIZE: EXTRA LARGE, 40 MM, LATEX FREE,
DISPOSABLE",EA,ITEMIZED,"7,41,829"
409,4214390101000,"BOWEL IRRIGATION SYSTEM, FOR FECAL INCONTINENCE AND CONSTIPATION, INCLUDING A PUMP CONTROL, WATER BAG, 2 RECTAL CATHETERS, TUBING, 2 STRAPS",EA,ITEMIZED,125
410,4219280100300,"BAG, FOR MEDICAL WASTE, PVC, WITH BIOHAZARD LOGO, NOT LESS THAN 150 MICRON THICKNESS, RED, 30-35 LITER",PC,ITEMIZED,"2,000"
411,4219280100400,"BAG, FOR MEDICAL WASTE, PVC, WITH BIOHAZARD LOGO, NOT LESS THAN 150 MICRON THICKNESS, RED, 50-55 LITER",PC,ITEMIZED,"2,000"
412,4219280100500,"BAG, FOR MEDICAL WASTE, PVC, WITH BIOHAZARD LOGO, NOT LESS THAN 150 MICRON THICKNESS, RED, 70-75 LITER",PC,ITEMIZED,"2,000"
413,4219280100000,"BAG, FOR MEDICAL WASTE, PVC, WITH BIOHAZARD LOGO, NOT LESS THAN 150 MICRON THICKNESS, YELLOW, 10-15
LITER",PC,ITEMIZED,"2,000"
414,4219280100100,"BAG, FOR MEDICAL WASTE, PVC, WITH BIOHAZARD LOGO, NOT LESS THAN 150 MICRON THICKNESS, YELLOW, 30-35
LITER",PC,ITEMIZED,"2,000"
415,4226160201200,"BAG, FOR MEDICAL WASTE, PVC, WITH BIOHAZARD LOGO, NOT LESS THAN 150 MICRON THICKNESS, YELLOW, 50-55
LITER",EA,ITEMIZED,"2,000"
416,4219280100200,"BAG, FOR MEDICAL WASTE, PVC, WITH BIOHAZARD LOGO, NOT LESS THAN 150 MICRON THICKNESS, YELLOW, 70-75
LITER",PC,ITEMIZED,"2,000"
417,4712170000300,"TAB TIE, NYLON, FOR MEDICAL WASTE BAG CLOSURE, 15-20 CM",PC,ITEMIZED,"10,000"
418,4214240100000,"BAG, FOR VOMITING, SUPER ABSORBENT PAD, ABILITY TO CONVERT LIQUID INTO SOLID GEL, POLYETHYLENE BAG WITH SECURE CLOSURE, SHOULD PROVIDE BEDSIDE WALL HOLDER, CAPACITY NOT LESS THAN 500 ML, DISPOSABLE",EA,ITEMIZED,"17,75,751"
419,4214160301100,"BAG, VOMIT, WITH RING, POST CHEMOTHERAPY, 1-1.5 LITER (FIT TO METAL HOLDER)",PC,ITEMIZED,"3,75,000"
420,4110410503100,"BAG, CHEMOTHERAPY DRUG TRANSPORT BAG, 4 MIL THICK, ZIP-LOCK CLOSURE, YELLOW AND BLACK CHEMOTHERAPY LABEL PROVIDES EASY IDENTIFICATION DURING SHIPPING, SIZE 12 X 15 INCH",EA,ITEMIZED,"52,500"
SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
421,4226160201100,"BAG, BODY, WHITE, NON WOVEN VINYL PLASTIC, WITH ZIPPER, INFANT, 45 CM LENGTH (+/- 10CM), 70 CM WIDTH (+/- 10CM), WITH IDENTIFICATION TAGS, (FOR MORGUE SVS) DISPOSABLE",EA,ITEMIZED,"15,600"
422,4226160200600,"BAG, BODY, WHITE, NON WOVEN VINYL PLASTIC, WITH ZIPPER, PEDIATRIC, 120 CM LENGTH (+/- 10CM), 70 CM WIDTH (+/- 10CM), WITH IDENTIFICATION TAGS, (FOR MORGUE SVS) DISPOSABLE",EA,ITEMIZED,"21,530"
423,4226160200800,"BAG, BODY, WHITE, NON WOVEN VINYL PLASTIC, WITH ZIPPER, ADULT, 2.5 METER LENGTH (+/- 30CM), 1 METER WIDTH (+/- 10CM), WITH IDENTIFICATION TAGS, (FOR MORGUE SVS) DISPOSABLE",EA,ITEMIZED,"40,974"
424,4110410505100,"BAG, ICE, PLASTIC, 16 INCH X 5 INCH, WITH OPEN NECK (TO FILL ICE AND CLOSE WITH TABS), RESEALABLE, LEAK
PROOF, DISPOSABLE",EA,ITEMIZED,"2,08,017"
425,4219261401300,"BAG, PLASTIC BAG WHITE FOR MEDICINE, SELF SEALING ,MUST BE PRINTED WITH FIXED BLACK INK BOTH SIDE, 50 MICRONS THICKNESS FOR ONE LAYER.SIZE: ABOUT 12 X 20 CM",EA,ITEMIZED,"11,10,90,897"
426,4219261401000,"BAG, PLASTIC, TRANSPARENT, FOR MEDICINE, ZIP LOCK, 50 MICRONS THICKNESS, FOR ONE LAYER, SIZE: ABOUT 7.4 X
14 CM",EA,ITEMIZED,"10,38,000"
427,4219261401100,"BAG, PLASTIC, TRANSPARENT, FOR MEDICINE, ZIP LOCK, 50 MICRONS THICKNESS, FOR ONE LAYER, SIZE: ABOUT 9 X 18
CM",EA,ITEMIZED,"21,58,010"
428,4219261400900,"BAG, PLASTIC, WHITE, FOR MEDICINE, DISPENSING WITH HANGING HOLE, 45 MICRONS THICKNESS FOR ONE LAYER, WITH HOSPITAL LOGO, 40 CM X 25 CM",EA,ITEMIZED,"14,37,657"
429,4219261401200,"BAG, PLASTIC BAG WHITE FOR MEDICINE DISPENSING WITH HANGING HOLE. MUST BE PRINTED WITH FIXED GREEN INK, 50 MICRONS THICKNESS FOR ONE LAYER. WI TH GUSSET.SIZE: ABOUT 29 X 35CM",EA,ITEMIZED,"9,21,37,162"
430,4110410500600,"BAG, SPECIMEN, TRANSPARENT, LAB BIOHAZARD, ZIP LOCK, DOCUMENT POUCH, 15 CM X 22.5 CM ( +/- 1 CM )",EA,ITEMIZED,"1,47,19,452"
431,4110410505800,"BAG, SPECIMEN, TRANSPARENT, LAB BIOHAZARD, ZIP LOCK, DOCUMENT POUCH, 14 CM X 14 CM ( +/- 1 CM )",EA,ITEMIZED,"95,06,395"
432,4110410505300,"BAG, SPECIMEN, TRANSPARENT, LAB BIOHAZARD, ZIP LOCK, DOCUMENT POUCH, 25 CM X 25 CM ( +/- 1 CM )",EA,ITEMIZED,"1,03,15,770"
433,4214161100200,"BAG, PATIENT SET-UP, PRINTED, TRANSPARENT, WITH DRAWSTRING, SIZE: 12 INCH X 15 INCH (+/- 2 INCH)",EA,ITEMIZED,"7,00,457"
434,4214161100400,"BAG, PLASTIC, WITH HANDLE, HEAVY DUTY, 60 MICRON, WHITE, SIZE: 40 X 59 CM, MUST BE WITH (PATIENT
BELONGINGS) WRITING ON THE BAG",EA,ITEMIZED,"31,32,500"
435,4110410505600,"BAG, POLYTHENE, TRANSPORT, SIZE 50X40 CM (+/- 5 CM)",EA,ITEMIZED,"52,38,292"
436,4110410508000,"BAG, ULTRAVIOLET, PROTECTION, ZIP LOCK, 10 X 10 CM (+/- 1 CM)",PC,ITEMIZED,"3,500"
437,4214270403700,"BAG, ULTRAVIOLET, PROTECTION, ZIP LOCK, 30.5 X 30.5 CM (+/- 2 CM)",EA,ITEMIZED,"46,080"
438,4218160503700,"BAG, PRESSURE INFUSER, 500 CC, WITH MANUAL, HAND PUMP",EA,ITEMIZED,"5,805"
439,4222170100500,"BAG, PRESSURE INFUSER, 1000 CC, WITH MANUAL, HAND PUMP",EA,ITEMIZED,"1,260"
440,4222170400200,"BAG, PRESSURE INFUSER, 3000 CC, WITH MANUAL, HAND PUMP",EA,ITEMIZED,"2,840"
441,4213211200200,"BAG LAUNDRY, SOLUBLE IN WATER, APPROX. 36 X 39 INCH",EA,ITEMIZED,"3,42,970"
442,4214270403600,"BAG, TELEMETRY POUCH, SOFT FOAM CONSTRUCTION WITH TORSO STRAP, FOR TRANSMITTER PROTECTION AND PATIENT COMFORT, SIZE 6X5 INCH",EA,ITEMIZED,200
443,4214161100300,"BAG, PLASTIC, BIG MOUTH, PILL CRUSHER, DISPOSABLE",EA,ITEMIZED,"3,84,455"
444,4110410504400,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 12.5 X 22.5 CM, DISPOSABLE",EA,ITEMIZED,"91,23,000"
445,4110410504500,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 15 CM X 10 CM, DISPOSABLE",EA,ITEMIZED,"21,17,082"
446,4110410502400,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 17 CM X 12 CM, DISPOSABLE",EA,ITEMIZED,"28,28,705"
447,4110410504600,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 22 CM X 15 CM, DISPOSABLE",EA,ITEMIZED,"36,24,347"
448,4110410504700,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 25 CM X 28 CM, DISPOSABLE",EA,ITEMIZED,"69,77,015"
449,4110303000100,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 30 CM X 45 CM, DISPOSABLE",EA,ITEMIZED,"9,64,700"
450,4110410505400,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 5 CM X 7 CM, DISPOSABLE",EA,ITEMIZED,"23,35,023"
451,4110410505500,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 7 CM X 10 CM, DISPOSABLE",EA,ITEMIZED,"78,66,250"
452,4110410505700,"BAG, PLASTIC, ZIP LOCK, TRANSPARENT, 20 CM X 20 CM, DISPOSABLE",EA,ITEMIZED,"48,58,727"
453,4219280200400,"CONTAINER, SAFETY, PLASTIC, FOR DISPOSAL SHARP, PORTABLE, DURABLE, STABLE, EASY HANDLING, PUNCTURE AND LEAK PROOF, WITH WARNING LABEL, YELLOW COLOR, FINAL CLOSURE MUST BE IRREVERSIBLE, 1.5 LITERS CAPACITY, 50 / PACK, DISPOSABLE",EA,ITEMIZED,"2,82,800"
454,4219280200800,"CONTAINER, SAFETY, PLASTIC, FOR DISPOSAL SHARP, DURABLE, STABLE, EASY HANDLING, PUNCTURE AND LEAK PROOF, WITH WARNING LABEL, YELLOW COLOR, FINAL CLOSURE MUST BE IRREVERSIBLE, 5-6 LITERS CAPACITY, 50 / PACK, DISPOSABLE",EA,ITEMIZED,"1,88,891"
455,4214253101400,"CONTAINER, SAFETY, PLASTIC, FOR DISPOSAL SHARP, DURABLE, STABLE, EASY HANDLING, PUNCTURE AND LEAK PROOF, WITH WARNING LABEL, YELLOW COLOR, FINA L CLOSURE MUST BE IRREVERSIBLE, 12 LITERS CAPACITY, 50/PACK, DISPOSABLE",EA,ITEMIZED,"69,030"
456,4219280200900,"CONTAINER, SAFETY, PLASTIC, FOR DISPOSAL SHARP, DURABLE, STABLE, EASY HANDLING, PUNCTURE AND LEAK PROOF, WITH WARNING LABEL, YELLOW COLOR, FINAL CLOSURE MUST BE IRREVERSIBLE, 21-23 LITERS CAPACITY, 50 / PACK, DISPOSABLE",EA,ITEMIZED,"1,53,585"
457,4219280200600,"CONTAINER, SAFETY, PLASTIC, FOR DISPOSAL SHARP, DURABLE, STABLE, EASY HANDLING, PUNCTURE AND LEAK PROOF, WITH WARNING LABEL, YELLOW COLOR, FINAL CLOSURE MUST BE IRREVERSIBLE, 30-35 LITERS CAPACITY, DISPOSABLE",EA,ITEMIZED,"1,35,896"
458,4219280200700,"CONTAINER, SAFETY, PLASTIC, FOR DISPOSAL SHARP, STABLE, EASY HANDLING, PUNCTURE AND LEAK PROOF, WITH WARNING LABEL, RED COLOR, FINAL CLOSURE MUST BE IRREVERSIBLE, 60-65 LITERS CAPACITY, DISPOSABLE",EA,ITEMIZED,"28,512"
459,4214253101500,"CONTAINER, WASTE DISPOSAL UNIT, SHARPS/NEEDLE/SYRINGE WALL MOUNTED 4 LITER, RIGID, PLASTIC, YELLOW TRANSPARENT, LEAK PROOF, PUNCTURE RESISTANT, WITH HERMETICAL SEAL, POLYPROPYLENE 2 PART LID AND BASE, WITH LOGO BIOHAZARDOUS WASTE , 9 X 10 X 4 INCH",EA,ITEMIZED,"2,94,555"
460,4227150001800,"BRACKET, WALL, FOR CONTAINER WASTE DISPOSAL UNIT, IT SHOULD BE COMPATIBLE WITH THE DEVICE
MANUFACTURE",EA,ITEMIZED,"9,687"
461,4110411803500,"SPECIMEN, COLLECTION, URINE, 24 HOUR, 2500 ML",EA,ITEMIZED,"2,91,205"
SN,NUPCO CODE,LONG DESCRIPTION,UOM,"GROUP
CATEGORY",INITIAL QUANTITY
462,4214160500400,"GALLIPOTS, 250-300 ML, POLYETHYLENE, PLASTIC CONTAINER, NON STERILE",EA,ITEMIZED,"1,200"
463,4110411803800,"GALLIPOTS, 70 ML, POLY WHITE, PLASTIC CONTAINER, USED FOR ALIQUOTES, INDIVIDUALLY PACKED, DISPOSABLE,
STERILE",EA,ITEMIZED,"17,100"
464,4111620501000,"KIT, SPECIMEN, COLLECTION, MID-STREAM URINE, MUST CONTAIN DISINFECTANT WIPE, FUNNEL, AND SPECULUM
CUP, STERILE",EA,ITEMIZED,"8,537"
465,4219260200100,"CONTAINER, TABLETS, PLASTIC, DISPENSING, CLEAR, BROWN COLOR, CHILD PROOF LOCK, 50 GM",EA,ITEMIZED,"9,14,864"
466,4112340300800,"BOTTLE, PLASTIC, WHITE, NON - TRANSPARENT, 15 ML, WITH DROPPER, DISPOSABLE",EA,ITEMIZED,"7,50,228"
467,4112181900100,BOTTLE AMBER GLASS W/DROPPER 25/30 ML,EA,ITEMIZED,"5,010"
468,4112181802600,BOTTLE MEDICINE GLASS AMBER OVAL W/ SCREW CAP 50 ML,EA,ITEMIZED,"5,145"
469,4219260201200,"BOTTLE, MEDICINE, AMBER, GRADUATED, EMPTY, WITH CHILD RESISTANT, PLASTIC, SCREW CAP, 60-70 ML",EA,ITEMIZED,"8,71,969"
470,4219260201100,"BOTTLE, MEDICINE, AMBER, GRADUATED, EMPTY, WITH CHILD RESISTANT, PLASTIC, SCREW CAP, 120-130 ML",EA,ITEMIZED,"71,975"
471,4110350601200,"BOTTLE, MEDICINE, AMBER, GRADUATED, EMPTY, WITH CHILD RESISTANT, PLASTIC SCREW CAP, 250 ML",EA,ITEMIZED,"2,08,143"
472,4110350601300,"BOTTLE, MEDICINE, AMBER, GRADUATED, EMPTY, WITH CHILD RESISTANT, PLASTIC SCREW CAP, 500 ML",EA,ITEMIZED,"3,27,000"
473,4112181800800,"BOTTLE, PLASTIC, WHITE, NON-TRANSPARENT, 50 ML, WITH SCREW COVER, DISPOSABLE",EA,ITEMIZED,"3,66,400"
474,4112181800900,"BOTTLE, PLASTIC, WHITE, NON-TRANSPARENT, 150 ML WITH SCREW COVER, DISPOSABLE",EA,ITEMIZED,"1,84,009"
475,4112181801000,"BOTTLE, PLASTIC, WHITE, NON-TRANSPARENT, 250 ML, WITH SCREW COVER, DISPOSABLE",EA,ITEMIZED,"2,12,420"
476,4112181801100,"BOTTLE, PLASTIC, WHITE, NON-TRANSPARENT, 300 ML, WITH SCREW COVER, DISPOSABLE",EA,ITEMIZED,"1,77,794"
477,4112181801200,"BOTTLE, PLASTIC, WHITE, NON-TRANSPARENT, 1000 ML, WITH SCREW COVER, DISPOSABLE",EA,ITEMIZED,"73,677"
478,4112181900000,"BOTTLE / JAR, PLASTIC, WHITE, NON-TRANSPARENT, 50 GM, WITH SCREW COVER, FOR OINTMENT, PACKING: 50 PIECES / PACK, DISPOSABLE",EA,ITEMIZED,"4,29,031"
479,4219261200800,"JAR, OINTMENT, WHITE, WITH SECURED CAP, 170 GM / ML",EA,ITEMIZED,"10,916"
480,4219261200900,"JAR, OINTMENT, WHITE, WITH SECURED CAP, 250 GM / ML",EA,ITEMIZED,"43,250"
481,4219261201000,"JAR, OINTMENT, WHITE, WITH SECURED CAP, 500 GM / ML",EA,ITEMIZED,575
482,4112180600700,"VIAL, MEDICINE, EMPTY SEALED, 10 ML, CLEAR, PYROGEN FREE, STERILE",EA,ITEMIZED,350
483,4219260201800,"VIAL, PLASTIC, WITH PUSH AND TURN TYPE, SAFE FITTED CAPS, WIDE MOUTH, AMBER COLOR, POLYSTYRENE
MATERIAL, CAPACITY : 25-30 ML",EA,ITEMIZED,"12,000"
484,4219260201900,"VIAL, PLASTIC, WITH PUSH AND TURN TYPE, SAFE FITTED CAPS, WIDE MOUTH, AMBER COLOR, POLYSTYRENE
MATERIAL, CAPACITY: 45-50 ML.",EA,ITEMIZED,"5,93,100"
485,4219260202000,"VIAL, PLASTIC, WITH PUSH AND TURN TYPE, SAFE FITTED CAPS, WIDE MOUTH, AMBER COLOR, POLYSTYRENE
MATERIAL, CAPACITY : 60-70 ML",EA,ITEMIZED,"2,36,800"
486,4219260201600,"VIAL, PLASTIC, WITH PUSH AND TURN TYPE, SAFE FITTED CAPS, WIDE MOUTH, AMBER COLOR, POLYSTYRENE MATERIAL, CAPACITY: 150-170 ML",EA,ITEMIZED,"2,52,255"
487,4219260200200,"CUP, FOR MEDICINE, DISPENSING, CLEAR, MEDICAL, PLASTIC, UNIVERSAL GRADUATION, 30 ML",EA,ITEMIZED,"2,82,48,902"
488,4219260200300,"CUP, FOR MOUTH RINSING, NOT LESS THAN 150 ML CAPACITY, DISPOSABLE",EA,ITEMIZED,"1,11,82,805"
489,4214160601300,"BASIN, KIDNEY, PAPER PULP, 600-800 ML, DISPOSABLE",EA,ITEMIZED,"4,89,562"
490,4214160601100,"BASIN, PAPER PULP, 4000-6000 ML, DISPOSABLE",EA,ITEMIZED,"3,43,938"
491,4214160600700,"BASIN, PLASTIC, 6 - 10 LITER, NON-STERILE",EA,ITEMIZED,"5,49,519"
492,4214160300500,"BASIN, PLASTIC, 6000 ML, GRADUATED, STERILE",EA,ITEMIZED,"40,235"
493,4214160301000,"BASIN, PLASTIC, GRADUATED, KIDNEY SHAPED, 500-700 ML",EA,ITEMIZED,"39,83,126"
494,4214160300900,"BASIN, PLASTIC, GRADUATED, KIDNEY SHAPED, 750-1000 ML",EA,ITEMIZED,"63,13,348"
495,4214160600000,"BASIN, ROUND PLASTIC FOR WASHING, IS A SIMPLE DURABLE 12 INCH DIAMETER POLYPROPYLENE, WASHABLE BETWEEN USAGE FOR SINGLE PATIENT",EA,ITEMIZED,"1,03,405"
496,4214160200000,"BEDPAN, FRACTURE, FEMALE",EA,ITEMIZED,"1,06,852"
497,4214160200100,"BEDPAN, REGULAR, PLASTIC, DISPOSABLE",EA,ITEMIZED,"1,05,915"
498,4110411801700,"BEDPAN, PANS, PLASTIC, MEASURING CONTAINER, URINE/STOOL, SIZE: 800-1000 ML",PC,ITEMIZED,"1,500"
499,4214160600800,"BOWL, ROUND, PLASTIC, 500 ML, STERILE",EA,ITEMIZED,"10,322"
500,4215251602100,"BOWL, ROUND, PLASTIC, 1000 ML, STERILE",EA,ITEMIZED,"1,05,824"
501,4810191400000,"CARAFE/ PITCHER, BEDSIDE, HINGED TOP, WITH PLASTIC JACKET, GRADUATED, 750 - 1250 ML",EA,ITEMIZED,"1,42,671"
502,4111620001600,"BEAKER, MEASURING, PLASTIC, LATEX FREE, TRANSPARENT, GRADUATED, 300-350 ML, DISPOSABLE",EA,ITEMIZED,"17,000"
503,4222170105600,"BEAKER, MEASURING, PLASTIC, LATEX FREE, TRANSPARENT, GRADUATED, 1 LITER, DISPOSABLE",EA,ITEMIZED,"2,02,561"
504,4228150900100,"TRAY, INSTRUMENT, COMPRESSED CARDBOARD, 18 X 12 CM (+/- 2 CM), DISPOSABLE",EA,ITEMIZED,"4,30,005"
505,4810191500000,"TRAY, PERSONAL FOR TUMBLER AND CARAFE, SIZE 28 X 16 CM (+/- 2 CM), DISPOSABLE",EA,ITEMIZED,"3,94,590"
506,4214150001000,"APPLICATOR, COTTON TIP, 3 INCH, 2 PIECES / PACK, IN PEEL BACK WRAPPER, STERILE",EA,ITEMIZED,"11,25,047"
